Date,Open,High,Low,Close
04/23/2025,"21,801.66","22,043.75","21,722.84","21,961.97"
04/22/2025,"21,150.54","21,296.91","21,044.61","21,293.53"
04/17/2025,"21,433.55","21,436.66","21,142.26","21,205.86"
04/16/2025,"21,117.78","21,315.96","20,956.38","21,311.02"
04/15/2025,"21,076.06","21,288.12","21,042.27","21,253.70"
04/14/2025,"20,802.42","21,048.33","20,698.91","20,954.83"
04/11/2025,"20,787.06","20,796.45","20,114.54","20,374.10"
04/10/2025,"21,207.76","21,300.31","20,562.73","20,562.73"
04/09/2025,"19,833.56","20,025.38","19,384.39","19,670.88"
04/08/2025,"20,039.69","20,468.43","19,884.48","20,280.26"
04/07/2025,"18,751.75","20,799.68","18,489.91","19,789.62"
04/04/2025,"21,543.47","21,642.17","20,437.37","20,641.72"
04/03/2025,"21,842.08","22,147.45","21,670.96","21,717.39"
04/02/2025,"22,483.93","22,485.41","22,139.27","22,390.84"
04/01/2025,"22,343.41","22,573.71","22,297.37","22,539.98"
03/31/2025,"22,253.05","22,320.02","21,978.46","22,163.49"
03/28/2025,"22,558.84","22,614.96","22,377.91","22,461.52"
03/27/2025,"22,574.46","22,740.47","22,469.88","22,678.74"
03/26/2025,"23,202.25","23,204.59","22,826.37","22,839.03"
03/25/2025,"22,913.42","23,182.78","22,845.52","23,109.79"
03/24/2025,"23,075.76","23,137.48","22,813.11","22,852.66"
03/21/2025,"22,926.42","22,956.98","22,723.19","22,891.68"
03/20/2025,"23,295.72","23,315.49","22,819.76","22,999.15"
03/19/2025,"23,272.15","23,372.08","23,136.54","23,288.06"
03/18/2025,"23,266.65","23,476.01","23,240.56","23,380.70"
03/17/2025,"22,998.53","23,154.57","22,933.57","23,154.57"
03/14/2025,"22,501.34","23,049.48","22,465.12","22,986.82"
03/13/2025,"22,578.10","22,752.83","22,417.52","22,567.14"
03/12/2025,"22,525.74","22,813.84","22,461.77","22,676.41"
03/11/2025,"22,680.39","22,835.10","22,258.30","22,328.77"
03/10/2025,"23,163.78","23,164.24","22,519.21","22,620.95"
03/07/2025,"23,195.22","23,234.28","22,860.08","23,008.94"
03/06/2025,"23,245.34","23,475.88","23,061.57","23,419.48"
03/05/2025,"22,804.81","23,176.39","22,790.89","23,081.03"
03/04/2025,"22,852.72","22,869.92","22,320.07","22,326.81"
03/03/2025,"22,682.95","23,307.97","22,531.60","23,147.02"
02/28/2025,"22,409.25","22,551.43","22,329.06","22,551.43"
02/27/2025,"22,587.27","22,686.41","22,378.06","22,550.89"
02/26/2025,"22,571.93","22,833.25","22,554.37","22,794.11"
02/25/2025,"22,362.81","22,576.12","22,332.15","22,410.27"
02/24/2025,"22,470.68","22,515.36","22,235.26","22,425.93"
02/21/2025,"22,329.22","22,393.59","22,226.34","22,287.56"
02/20/2025,"22,501.21","22,574.59","22,280.23","22,314.65"
02/19/2025,"22,875.96","22,935.06","22,416.11","22,433.63"
02/18/2025,"22,851.37","22,882.77","22,715.25","22,844.50"
02/17/2025,"22,589.91","22,804.20","22,550.73","22,798.09"
02/14/2025,"22,526.87","22,609.97","22,467.37","22,513.42"
02/13/2025,"22,410.58","22,624.57","22,306.33","22,612.02"
02/12/2025,"22,077.82","22,193.65","21,971.63","22,148.03"
02/11/2025,"21,909.96","22,046.41","21,884.38","22,037.83"
02/10/2025,"21,830.93","21,945.57","21,785.02","21,911.74"
02/07/2025,"21,908.48","21,945.31","21,759.97","21,787.00"
02/06/2025,"21,718.10","21,921.02","21,691.57","21,902.42"
02/05/2025,"21,429.83","21,585.93","21,387.72","21,585.93"
02/04/2025,"21,474.79","21,518.54","21,298.71","21,505.70"
02/03/2025,"21,301.53","21,462.79","21,252.71","21,428.24"
01/31/2025,"21,771.49","21,800.52","21,689.29","21,732.05"
01/30/2025,"21,676.22","21,732.05","21,650.78","21,727.20"
01/29/2025,"21,511.47","21,671.59","21,475.64","21,637.53"
01/28/2025,"21,374.29","21,475.90","21,296.33","21,430.58"
01/27/2025,"21,201.99","21,344.98","21,081.61","21,282.18"
01/24/2025,"21,463.15","21,520.50","21,353.01","21,394.93"
01/23/2025,"21,277.58","21,423.02","21,254.08","21,411.53"
01/22/2025,"21,169.61","21,330.87","21,162.31","21,254.27"
01/21/2025,"20,925.75","21,045.67","20,922.80","21,042.00"
01/20/2025,"20,900.68","21,054.60","20,880.57","20,990.31"
01/17/2025,"20,732.04","20,924.50","20,716.38","20,903.39"
01/16/2025,"20,665.61","20,675.08","20,580.09","20,655.39"
01/15/2025,"20,305.24","20,629.77","20,290.62","20,574.68"
01/14/2025,"20,266.14","20,362.59","20,234.26","20,271.33"
01/13/2025,"20,157.24","20,176.11","20,025.28","20,132.85"
01/10/2025,"20,316.55","20,400.52","20,187.97","20,214.79"
01/09/2025,"20,284.20","20,360.38","20,245.96","20,317.10"
01/08/2025,"20,322.17","20,480.49","20,242.56","20,329.94"
01/07/2025,"20,206.04","20,391.17","20,152.70","20,340.57"
01/06/2025,"19,982.66","20,216.19","19,921.12","20,216.19"
01/03/2025,"20,028.40","20,031.11","19,868.14","19,906.08"
01/02/2025,"19,923.07","20,024.79","19,833.82","20,024.66"
12/30/2024,"19,892.97","19,978.00","19,882.67","19,909.14"
12/27/2024,"19,831.68","19,984.32","19,801.33","19,984.32"
12/23/2024,"19,847.97","19,901.32","19,805.57","19,848.77"
12/20/2024,"19,822.87","19,924.70","19,649.87","19,884.75"
12/19/2024,"20,032.05","20,105.10","19,959.18","19,969.86"
12/18/2024,"20,273.85","20,329.67","20,241.98","20,242.57"
12/17/2024,"20,290.96","20,356.58","20,241.50","20,246.37"
12/16/2024,"20,360.75","20,387.88","20,304.78","20,313.81"
12/13/2024,"20,450.96","20,522.82","20,367.12","20,405.92"
12/12/2024,"20,440.07","20,453.44","20,388.03","20,426.27"
12/11/2024,"20,296.19","20,415.41","20,292.86","20,399.16"
12/10/2024,"20,278.74","20,393.86","20,277.63","20,329.16"
12/09/2024,"20,461.85","20,461.85","20,318.26","20,345.96"
12/06/2024,"20,374.54","20,425.86","20,331.24","20,384.61"
12/05/2024,"20,218.29","20,373.43","20,216.33","20,358.80"
12/04/2024,"20,103.89","20,260.61","20,085.31","20,232.14"
12/03/2024,"19,947.18","20,038.01","19,926.26","20,016.75"
12/02/2024,"19,586.17","19,933.62","19,568.50","19,933.62"
11/29/2024,"19,400.38","19,640.15","19,380.21","19,626.45"
11/28/2024,"19,366.72","19,437.57","19,346.59","19,425.73"
11/27/2024,"19,257.77","19,287.04","19,145.01","19,261.75"
11/26/2024,"19,309.16","19,385.35","19,239.37","19,295.98"
11/25/2024,"19,462.24","19,468.30","19,329.88","19,405.20"
11/22/2024,"19,240.23","19,338.10","19,036.41","19,322.59"
11/21/2024,"19,060.92","19,152.61","18,900.02","19,146.17"
11/20/2024,"19,153.03","19,198.74","18,962.19","19,004.78"
11/19/2024,"19,175.84","19,211.80","18,812.53","19,060.31"
11/18/2024,"19,249.26","19,279.16","19,091.90","19,189.19"
11/15/2024,"19,135.64","19,288.89","19,121.14","19,210.81"
11/14/2024,"19,072.19","19,307.57","19,060.44","19,263.70"
11/13/2024,"19,024.28","19,125.69","18,838.68","19,003.11"
11/12/2024,"19,260.58","19,339.82","19,019.67","19,033.64"
11/11/2024,"19,386.70","19,546.90","19,382.48","19,448.60"
11/08/2024,"19,411.59","19,411.60","19,146.53","19,215.48"
11/07/2024,"19,157.22","19,437.88","19,148.79","19,362.52"
11/06/2024,"19,360.75","19,563.97","19,007.88","19,039.31"
11/05/2024,"19,170.15","19,263.14","19,104.59","19,256.27"
11/04/2024,"19,231.86","19,286.04","19,147.76","19,147.85"
11/01/2024,"19,093.99","19,297.64","19,082.10","19,254.97"
10/31/2024,"19,096.68","19,184.31","19,004.97","19,077.54"
10/30/2024,"19,403.43","19,420.94","19,201.24","19,257.34"
10/29/2024,"19,634.33","19,643.12","19,465.00","19,478.07"
10/28/2024,"19,528.67","19,570.92","19,399.16","19,531.62"
10/25/2024,"19,419.52","19,516.24","19,388.91","19,463.59"
10/24/2024,"19,417.73","19,555.45","19,417.73","19,443.00"
10/23/2024,"19,399.33","19,464.54","19,330.11","19,377.62"
10/22/2024,"19,528.91","19,591.49","19,368.69","19,421.91"
10/21/2024,"19,609.42","19,645.02","19,451.72","19,461.19"
10/18/2024,"19,543.71","19,667.34","19,540.20","19,657.37"
10/17/2024,"19,509.79","19,674.68","19,499.46","19,583.39"
10/16/2024,"19,465.30","19,510.26","19,401.54","19,432.81"
10/15/2024,"19,581.57","19,633.91","19,457.49","19,486.19"
10/14/2024,"19,409.69","19,518.44","19,392.64","19,508.29"
10/11/2024,"19,206.31","19,377.10","19,175.78","19,373.83"
10/10/2024,"19,242.85","19,285.16","19,145.42","19,210.90"
10/09/2024,"19,065.18","19,259.12","19,007.85","19,254.93"
10/08/2024,"18,937.70","19,098.48","18,911.72","19,066.47"
10/07/2024,"19,150.27","19,151.97","19,011.94","19,104.10"
10/04/2024,"18,968.85","19,171.54","18,952.44","19,120.93"
10/03/2024,"19,074.45","19,110.31","18,964.31","19,015.41"
10/02/2024,"19,221.66","19,250.89","19,059.60","19,164.75"
10/01/2024,"19,409.39","19,448.95","19,143.79","19,213.14"
09/30/2024,"19,412.33","19,449.98","19,314.34","19,324.93"
09/27/2024,"19,257.68","19,491.93","19,239.86","19,473.63"
09/26/2024,"19,107.86","19,253.07","19,088.42","19,238.36"
09/25/2024,"18,845.92","18,965.01","18,840.13","18,918.50"
09/24/2024,"18,982.40","19,029.45","18,903.48","18,996.63"
09/23/2024,"18,766.92","18,857.37","18,684.34","18,846.79"
09/20/2024,"18,895.82","18,900.44","18,710.34","18,720.01"
09/19/2024,"18,877.57","19,044.96","18,806.16","19,002.38"
09/18/2024,"18,729.64","18,756.53","18,695.37","18,711.49"
09/17/2024,"18,686.76","18,805.09","18,671.64","18,726.08"
09/16/2024,"18,621.78","18,672.23","18,599.53","18,633.11"
09/13/2024,"18,546.22","18,722.19","18,542.23","18,699.40"
09/12/2024,"18,533.41","18,595.83","18,382.26","18,518.39"
09/11/2024,"18,342.57","18,434.62","18,208.84","18,330.27"
09/10/2024,"18,417.11","18,490.68","18,233.86","18,265.92"
09/09/2024,"18,379.52","18,484.28","18,353.25","18,443.56"
09/06/2024,"18,534.87","18,607.79","18,274.98","18,301.90"
09/05/2024,"18,539.15","18,677.63","18,536.56","18,576.50"
09/04/2024,"18,531.98","18,654.20","18,531.98","18,591.85"
09/03/2024,"18,979.53","18,990.78","18,728.46","18,747.11"
09/02/2024,"18,913.53","18,937.98","18,778.54","18,930.85"
08/30/2024,"18,891.35","18,970.71","18,886.09","18,906.92"
08/29/2024,"18,791.17","18,936.04","18,781.16","18,912.57"
08/28/2024,"18,745.14","18,856.59","18,731.45","18,782.29"
08/27/2024,"18,637.20","18,724.39","18,622.66","18,681.81"
08/26/2024,"18,589.90","18,638.97","18,554.51","18,617.02"
08/23/2024,"18,538.87","18,670.45","18,519.29","18,633.10"
08/22/2024,"18,459.28","18,551.39","18,458.61","18,493.39"
08/21/2024,"18,358.79","18,476.63","18,352.19","18,448.95"
08/20/2024,"18,473.23","18,495.28","18,349.98","18,357.52"
08/19/2024,"18,312.51","18,454.94","18,284.86","18,421.69"
08/16/2024,"18,236.02","18,344.22","18,226.60","18,322.40"
08/15/2024,"17,977.81","18,198.09","17,909.74","18,183.24"
08/14/2024,"17,882.18","17,921.99","17,827.08","17,885.60"
08/13/2024,"17,799.66","17,817.07","17,669.64","17,812.05"
08/12/2024,"17,784.03","17,829.10","17,677.79","17,726.47"
08/09/2024,"17,672.90","17,788.72","17,618.42","17,722.88"
08/08/2024,"17,516.05","17,696.67","17,439.87","17,680.40"
08/07/2024,"17,438.65","17,666.82","17,386.88","17,615.15"
08/06/2024,"17,422.57","17,505.23","17,233.07","17,354.32"
08/05/2024,"17,525.59","17,525.59","17,024.82","17,339.00"
08/02/2024,"17,884.86","17,918.02","17,623.97","17,661.22"
08/01/2024,"18,432.50","18,440.92","18,069.62","18,083.05"
07/31/2024,"18,503.18","18,564.39","18,434.82","18,508.65"
07/30/2024,"18,363.93","18,469.08","18,341.42","18,411.18"
07/29/2024,"18,542.43","18,546.32","18,309.27","18,320.67"
07/26/2024,"18,255.35","18,428.88","18,218.54","18,417.55"
07/25/2024,"18,209.40","18,326.18","18,096.69","18,298.72"
07/24/2024,"18,394.30","18,456.39","18,348.99","18,387.46"
07/23/2024,"18,500.67","18,647.10","18,464.22","18,557.70"
07/22/2024,"18,270.85","18,468.60","18,231.41","18,407.07"
07/19/2024,"18,340.85","18,341.82","18,162.30","18,171.93"
07/18/2024,"18,439.33","18,536.26","18,352.33","18,354.76"
07/17/2024,"18,512.11","18,532.66","18,347.24","18,437.30"
07/16/2024,"18,586.42","18,586.42","18,448.27","18,518.03"
07/15/2024,"18,736.11","18,743.68","18,581.02","18,590.89"
07/12/2024,"18,534.49","18,779.40","18,528.39","18,748.18"
07/11/2024,"18,409.70","18,578.45","18,409.65","18,534.56"
07/10/2024,"18,236.75","18,420.13","18,236.75","18,407.22"
07/09/2024,"18,471.35","18,473.00","18,213.98","18,236.19"
07/08/2024,"18,474.27","18,631.61","18,444.06","18,472.05"
07/05/2024,"18,450.59","18,650.36","18,420.57","18,475.45"
07/04/2024,"18,375.96","18,468.16","18,375.68","18,450.48"
